Anthem STR Preamplifier and STR Integrated Amplifier serial commands,,June 5 2017,
,,,
Command,Description,Related Query Command,Report
;,(semicolon) Command separator/terminator - note that semicolon is the only valid line feed.,there will be a semicolon at the end of report,
IDQ?,Query model and firmware version,"returns IDQ followed by model, software version, software build date e.g. ""IDQSTR IA 1.0.5560 5/18/17 16:32""",
IDM?,Query model,"returns IDM followed by model e.g. ""IDMSTR IA""",
IDS?,Query software version,"returns IDS followed by software version e.g. ""IDS1.0.5560""",
IDB?,Query software build date,"returns IDB followed by software build date e.g. ""IDB5/18/17""",
IDH?,Query hardware version,"returns IDH followed by hardware version e.g. ""IDH0""",
IDN?,Query MCU MAC Address,"returns IDN followed by the unit's unique address e.g. ""IDN0004A393FA62""",
,,,
comment,"Upper case letters represent command, lower case represent variables which must be entered.",,
,,,
comment,Setup Menu settings,,
FPBx,"Front panel brightness: 0=off, 1=low, 2=medium, 3=high, 4=max, n=cycle to next",FPB? returns FPBx (x=0-4),
SSPxxy,"Set Speaker Profile to # y for profile 1 (y=1), profile 2 (y=2), profile 3 (y=3) and profile 4 (y=4) for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00= the current input).",SSPxx? returns SSPxxy,
SPNy?,"Query the Speaker Profile name of the specified profile # y for profile 1 (y=1), profile 2 (y=2), profile 3 (y=3) and profile 4 (y=4)",SPNy? Returns SNPyzzzzzzzz where zzzzzzzz= Profile Name in ASCII as set in the setup menu,
comment,System power control,,
ZxPOWy,"Power. x=zone: 0 (all), 1 (main), 2 (where applicable), 3 (where applicable).  y: 0=off, 1=on.  When unit is in ECO standby mode (see product manual), it may be necessary to send the power-on command twice. Ex:""Z0POW1;Z0POW1;"". The first instance is the wake-up from low-power state. Note that Zx=Z0 applies only to power command.",ZxPOW? returns ZxPOWy,
comment,"From this point ""Zx"" at the beginning of a command represents zone selection as above. For STR models this is always Z1.",,
ICN?,Query number of active input configurations that the system supports,"returns ICNyy e.g. ""ICN9"" for a system with 9 active inputs",
ISNyy?,Query the name of the input yy=01-ZZ. ,returns 'ISNyyzzzz' where 'zzzz'= Input name as set in the setup menu. Maximum length of the input name is 10 ASCII characters.,
ZxINPyy,Input Select: yy=01-ZZ. Where ZZ is the number of active input configurations for the specified zone. Eg: 'Z1INP09' would select the 9th input in the main zone. When selecting an input that has no input connector assigned to Z2 the MRX x10 will silently ignore the input select command.,"ZxINP? returns ZxINPyy  e.g. ""Z1INP10"".",
ZxVUPyy.y,"Volume up: yy.y=dB step: 0.0 to 10.0, m=minimum according to model. Entry is rounded to nearest valid value",,
ZxVDNyy.y,"Volume down: yy.y=dB step: 0.0 to 10.0, m=minimum according to model. Entry is rounded to nearest valid value.",,
ZxVOLsyy.y,"Volume setting: s=sign: +/-, yy.y=value.  Example: Z1VOL-35 represents main zone volume set to -35 dB.  Entry is rounded to nearest valid value.",ZxVOL? returns ZxVOLsyy.y,
ZxMUTy,"Mute: 0=unmute, 1=mute, t=toggle",ZxMUT? returns ZxMUTy (y=0-1),
ZxARCy,Turn ARC (Anthem Room Correction) off (y=0) or on (y=1) for the current input of specified zone. Returns an error if an attempt to turn it on is made when there are no ARC co-efficients available or if the input is in analog direct mode.,ZxARC? returns ZxARCy (y=0-1),
comment,"Balance, level, and tone commands below do not pertain to system setup, they are on-the-fly adjustments meant to compensate for source material anomalies.  For system setup, use the setup menu in the preamp/receiver, and Anthem Room Correction.",,
Z1BLTyyy,"Balance all channels to left: y= %: 0 to 100, m=minimum according to model. Entry is rounded to nearest valid value.",,
Z1BRTyyy,"Balance all channels to right: y= %: 0 to 100, m=minimum according to model. Entry is rounded to nearest valid value.",,
Z1BALyyy,Balance setting: yyy=% 0 to 100. Example: Z1BAL100 represents balance completely to the right. Z1BAL0 represents balance completely to the left. Z1BAL50 is balance in the middle. Entry is rounded to nearest valid value.,Z1BAL? returns Z1BALyyy,
Z1LUPyzz.z,"Level up: y=channels: 0=subs (this is the only group applicable to STR models), 1=fronts, 2=center, 3=surrounds, 4=backs, 5=LFE, 6=Heights1, 7=Heights2.  zz.z=dB step: 0.0 to 10.0, m=minimum according to model",,
Z1LDNyzz.z,"Level down: y=channels: 0=subs (this is the only group applicable to STR models), 1=fronts, 2=center, 3=surrounds, 4=backs, 5=LFE, 6=Heights1, 7=Heights2. zz.z=dB step: 0.0 to 10.0, m=minimum according to model",,
