Anthem MRX 1120-720-520 AVR and AVM 60 AVP serial commands,,Feb 2 2016,,
,,,,
Command,Description,Related Query Command,Report,
;,(semicolon) Command separator/terminator - note that semicolon is the only valid line feed.,there will be a semicolon at the end of report,,
IDQ?,Query model and firmware version,"returns IDQ followed by model, software version, region, software build date e.g. ""IDQMRX 1120 US 0.2.3Oct 23 2015""",,
IDM?,Query model,"returns IDM followed by model e.g. ""IDMMRX 1120""",,
IDS?,Query software version,"returns IDS followed by software version e.g. ""IDS0.2.3""",,
IDR?,Query region,"returns IDR followed by region e.g. ""IDRUS""",,
IDB?,Query software build date,"returns IDB followed by software build date e.g. ""IDBOct 23 2015""",,
IDH?,Query hardware version,"returns IDH followed by hardware version e.g. ""IDH1""",,
IDN?,Query MCU MAC Address,"returns IDN followed by the unit's unique address e.g. ""IDN7CB77B014FE5""",,
,,,,
comment,"Upper case letters represent command, lower case represent variables which must be entered.",,,
,,,,
comment,Setup Menu settings,,,
ECHx,"Tx status set. x=0 off, x=1 on (report running changes to any settings marked as Report)",ECH? returns ECHx,,
FPBx,"Front panel brightness: 0=off, 1=low, 2=medium, 3=high, n=cycle to next",FPB? returns FPBx (x=0-3),yes,
SDVSxxy,"Set Dolby Volume off (y=0) or on (y=1) for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00=the current input).",SDVSxx? returns SDVSxxy,yes,
SDVLxxy,"Set Dolby Volume Leveler to y (0=off, 1-9) for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00=the current input).",SDVLxx? returns SDVLxxy,yes,
SLIPxxyyy,"Set Lip Sync to yyy (0-150) ms for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00=the current input).  Step must be in increments of 5ms or error will result.",SLIPxx? returns SLIPxxyyy,yes,
SIPx,"Set Standby IP Control to Disabled (x=0) or Enabled (x=1). This must be enabled for the power-on command to operate via IP. With serial control, the power-on command need not be sent twice (once for wake-up) when this setting is enabled. Note that sending SIP1 disables ECO mode.",SIP? returns SIPx,yes,
