Anthem MRX 1140-740-540 AVR and AVM 90-70 AVP serial commands,,Aug 5 2020,,
,,,,
Command,Description,Related Query Command,Report,
;,(semicolon) Command separator/terminator - note that semicolon is the only valid line feed.,there will be a semicolon at the end of report,,
,,,,
comment,Host MCU,,,
IDQ?,Query model and firmware version,"returns IDQ followed by model, software version, region, software build date e.g. ""IDQMRX 1140 US 0.2.3Aug 05 2020""",,
IDM?,Query model,"returns IDM followed by model e.g. ""IDMMRX 1140""",,
IDS?,Query software version,"returns IDS followed by software version e.g. ""IDS0.2.3""",,
DSPIDS,Query DSP software version,,,
LCDIDS,Query LCDC software version,,,
GSN,Query serial number,,,
IDR?,Query region,"returns IDR followed by region e.g. ""IDRUS"" or ""IDREU"" or ""IDRCN""",,
IDB?,Query software build date,"returns IDB followed by software build date e.g. ""IDBAug 13 2020""",,
IDH?,Query hardware version,"returns IDH followed by hardware version e.g. ""IDH1""",,
,,,,
comment,Networking Module (NM),,,
NMSVER,Module software version,ex: NMVER0.1.2945,,
NMHVER,Module hardware version,ex: NMHVER1,,
RVER,Release version,ex: RVER0.2.2945,,
RBD,Release build date,,,
NMR,Module region,,,
WMAC,Wi-Fi MAC address,ex: 01.23.45.67.89.AB,,
EMAC,Ethernet MAC address,ex: 01.23.45.67.89.AB,,
NMST,Network status,ex: 192.168.1.54 or 'Up' or 'Down' or 'Connecting'. Up to 32 characters,,
,,,,
comment,"Upper case letters represent command, lower case represent variables which must be entered.",,,
,,,,
comment,System Status,,,
Z1VIR?,"Query video input resolution: 0=no input, 1=other, 2=1080p60, 3=1080p50, 4=1080p24, 5=1080i60, 6=1080i50, 7=720p60, 8=720p50, 9=576p50, 10=576i50, 11=480p60, 12=480i60, 13=3D, 14=4k60, 15=4k50, 16=4k24",returns Z1VIRxx,yes,
Z1IRH?,Query active horizontal video resolution (in pixels),return Z1IRHxxxx,yes,
Z1IRV?,Query active vertical video resolution (in pixels/lines),return Z1IRVxxxx,yes,
Z1AIC?,"Query audio input channels: 0=no input, 1=other, 2=mono (center channel only), 3=2-channel, 4=5.1-channel, 5==7.1-channel, 6=Atmos, 7=DTS-X",returns Z1AICx,yes,
Z1AIF?,"Query audio input format: 0=no input, 1=Analog, 2=PCM, 3=Dolby, 4= DSD, 5=DTS, 6=Atmos, 7=DTS-X.",Returns Z1AIFxx,yes,
Z1BRT?,Query audio input bit rate (kbps). For Analog/PCM inputs this is equal to the sample rate multiplied by the bit depth and the number of channels,"returns Z1BRTxxxx, 0=analog ",yes,
Z1SRT?,Query audio input sampling rate (kHz),"returns Z1SRTxxx, 0=analog direct",yes,
Z1BDP?,Query audio bit depth,"returns Z1BDPxxx, 16-bit, 24-bit, 32-bit",yes,
Z1AIN?,Query the current audio input name (maximum of 16 characters returned),Returns Z1AINx. Ex: Current audio input format is DTS Master Audio. 'Z1AIN?' Returns 'Z1AINDTS Master Audio',yes,
Z1AIR?,Query the current audio input rate name (maximum of 16 characters returned).,"Returns Z1AIRx. For lossy input formats, returns the bit rate (ex 'Z1AIR384 kbps'). For lossless audio, analog audio, or PCM audio inputs it returns the sample rate combined with bit depth (ex: Z1AIR48/16).",yes,
,,,,
comment,Speaker Setup - Amp Matrixing,,,
SSAMF,"Front:
MRX740 only: y=0 Front, y=1 Zone 2, y=2 Height 1, y=3 Height 2
MRX1140 only: y=0 Front, y=1 Zone 2, y=2 Front Wide, y=3 Height 3",SSAMF? returns SSAMFy,yes,
SSAMS,"Surround:
MRX740 only: y=0 Surround, y=1 Zone 2, y=2 Height 2
MRX1140 only: y=0 Surround, y=1 Zone 2, y=2 Height 3",SSAMS? returns SSAMSy,yes,
SSAMB,"Back:
MRX740 only: y=0 Back, y=1 Zone 2, y=2 Zone 2 On Demand, y=3 Height 1, y=4 Front (Bi-Amp)
MRX1140 only: y=0 Back, y=1 Zone 2, y=2 Zone 2 On Demand, y=3 Front Wide, y=4 Front (Bi-Amp)",SSAMB? returns SSAMBy,yes,
SSAMH1,"Height 1:
MRX1140 only: y=0 Height 1, y=1 Zone 2, y=2 Front (Bi-Amp)",SSAMH1? returns SSAMH1y,yes,
